review,rating,date,review_length,bank,source,neg,neu,pos,compound,sentiment
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,112,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,161,Dashen Bank,Google Play Store,0.0,0.645,0.355,0.8316,positive
Amazing app super easy to use and best design. loved it.,5,2025-05-09,56,Dashen Bank,Google Play Store,0.0,0.243,0.757,0.9623,positive
its the best ever,5,2025-05-09,17,Dashen Bank,Google Play Store,0.0,0.417,0.583,0.6369,positive
excellent game changer App,5,2025-05-08,26,Dashen Bank,Google Play Store,0.0,0.448,0.552,0.5719,positive
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,109,Dashen Bank,Google Play Store,0.0,0.668,0.332,0.8151,positive
it seems me logging out within minutes,1,2025-05-03,38,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,124,Dashen Bank,Google Play Store,0.102,0.792,0.106,0.0258,neutral
yes i want dashen super open,5,2025-05-02,28,Dashen Bank,Google Play Store,0.0,0.275,0.725,0.7845,positive
Best App,5,2025-05-02,8,Dashen Bank,Google Play Store,0.0,0.192,0.808,0.6369,positive
faster than this version,5,2025-05-01,24,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Best UI mobile banking app, props to design team",5,2025-04-30,48,Dashen Bank,Google Play Store,0.0,0.656,0.344,0.6369,positive
thank you,4,2025-04-30,9,Dashen Bank,Google Play Store,0.0,0.286,0.714,0.3612,positive
great app,5,2025-04-30,9,Dashen Bank,Google Play Store,0.0,0.196,0.804,0.6249,positive
bad.,1,2025-04-30,4,Dashen Bank,Google Play Store,1.0,0.0,0.0,-0.5423,negative
Dashen bank always one step ahead,5,2025-04-30,33,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
dashen super app is secure band very easy,5,2025-04-29,41,Dashen Bank,Google Play Store,0.0,0.345,0.655,0.8588,positive
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,64,Dashen Bank,Google Play Store,0.0,0.645,0.355,0.7225,positive
best app I have ever seen,5,2025-04-29,25,Dashen Bank,Google Play Store,0.0,0.543,0.457,0.6369,positive
best of best,5,2025-04-29,12,Dashen Bank,Google Play Store,0.0,0.106,0.894,0.8555,positive
waw,5,2025-04-28,3,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
best app,5,2025-04-28,8,Dashen Bank,Google Play Store,0.0,0.192,0.808,0.6369,positive
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,61,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,35,Dashen Bank,Google Play Store,0.0,0.377,0.623,0.7156,positive
wow appl,5,2025-04-28,8,Dashen Bank,Google Play Store,0.0,0.208,0.792,0.5859,positive
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,67,Dashen Bank,Google Play Store,0.0,0.92,0.08,0.0772,positive
very nice,5,2025-04-26,9,Dashen Bank,Google Play Store,0.0,0.244,0.756,0.4754,positive
great,4,2025-04-26,5,Dashen Bank,Google Play Store,0.0,0.0,1.0,0.6249,positive
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,124,Dashen Bank,Google Play Store,0.0,0.86,0.14,0.5994,positive
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,142,Dashen Bank,Google Play Store,0.0,0.893,0.107,0.34,positive
Very easy and Fast.,5,2025-04-24,19,Dashen Bank,Google Play Store,0.0,0.484,0.516,0.4927,positive
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,59,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,250,Dashen Bank,Google Play Store,0.201,0.738,0.062,-0.7156,negative
execellent,5,2025-04-24,10,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,148,Dashen Bank,Google Play Store,0.0,0.631,0.369,0.923,positive
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,75,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
it is incredible product.,5,2025-04-23,25,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23,181,Dashen Bank,Google Play Store,0.0,0.76,0.24,0.8461,positive
"It's an amazing app, experience it!!",5,2025-04-23,36,Dashen Bank,Google Play Store,0.0,0.533,0.467,0.658,positive
This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23,66,Dashen Bank,Google Play Store,0.0,0.621,0.379,0.7717,positive
It is the best application!!!,5,2025-04-22,29,Dashen Bank,Google Play Store,0.0,0.441,0.559,0.7249,positive
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22,124,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
its features are so dynamic,5,2025-04-22,27,Dashen Bank,Google Play Store,0.0,0.543,0.457,0.5214,positive
fast &Friendly user Application.,5,2025-04-22,32,Dashen Bank,Google Play Store,0.0,0.484,0.516,0.4939,positive
"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22,44,Dashen Bank,Google Play Store,0.0,0.686,0.314,0.4939,positive
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,60,Dashen Bank,Google Play Store,0.0,0.474,0.526,0.9042,positive
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,71,Dashen Bank,Google Play Store,0.0,0.611,0.389,0.7906,positive
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22,114,Dashen Bank,Google Play Store,0.0,0.612,0.388,0.8591,positive
Great for everyday banking and payments on the go,5,2025-04-22,49,Dashen Bank,Google Play Store,0.0,0.661,0.339,0.6249,positive
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22,275,Dashen Bank,Google Play Store,0.0,0.762,0.238,0.9153,positive
making transactions has never been easier. the new update is just amazing,5,2025-04-22,73,Dashen Bank,Google Play Store,0.145,0.62,0.236,0.3544,positive
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22,135,Dashen Bank,Google Play Store,0.0,0.873,0.127,0.4404,positive
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22,156,Dashen Bank,Google Play Store,0.0,0.783,0.217,0.7269,positive
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22,68,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
Convenient!,5,2025-04-22,11,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
It is an amazing application that meets the needs of customers.,5,2025-04-22,63,Dashen Bank,Google Play Store,0.0,0.725,0.275,0.5859,positive
Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22,115,Dashen Bank,Google Play Store,0.0,0.762,0.238,0.5707,positive
the best Supper App ever,5,2025-04-22,24,Dashen Bank,Google Play Store,0.0,0.488,0.512,0.6369,positive
"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22,90,Dashen Bank,Google Play Store,0.0,0.781,0.219,0.6369,positive
"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22,110,Dashen Bank,Google Play Store,0.0,0.567,0.433,0.9042,positive
Dashen bank is my number one choice,5,2025-04-22,35,Dashen Bank,Google Play Store,0.0,0.822,0.178,0.0772,positive
Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22,91,Dashen Bank,Google Play Store,0.0,0.664,0.336,0.8225,positive
"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-21,170,Dashen Bank,Google Play Store,0.0,0.703,0.297,0.8516,positive
"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21,122,Dashen Bank,Google Play Store,0.0,0.548,0.452,0.9076,positive
it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21,64,Dashen Bank,Google Play Store,0.0,0.596,0.404,0.7269,positive
"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21,124,Dashen Bank,Google Play Store,0.0,0.708,0.292,0.7639,positive
A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21,132,Dashen Bank,Google Play Store,0.0,0.63,0.37,0.875,positive
"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-21,356,Dashen Bank,Google Play Store,0.0,0.669,0.331,0.9758,positive
Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-21,80,Dashen Bank,Google Play Store,0.0,0.679,0.321,0.7964,positive
"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-21,114,Dashen Bank,Google Play Store,0.0,0.736,0.264,0.7257,positive
"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21,123,Dashen Bank,Google Play Store,0.0,0.708,0.292,0.7639,positive
"This app has everything I was looking for, dashen is becoming a grandmaster.",5,2025-04-21,76,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
Very convenient,5,2025-04-21,15,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21,154,Dashen Bank,Google Play Store,0.0,0.865,0.135,0.6369,positive
wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21,55,Dashen Bank,Google Play Store,0.0,0.534,0.466,0.8346,positive
"Dashen SuperApp the ultimate all-in-one solution! From banking and shopping to bill payments, everything you need is right at your fingertips. Life just got a whole lot easier!",5,2025-04-21,176,Dashen Bank,Google Play Store,0.0,0.821,0.179,0.6892,positive
"It is,really super because of its unique offerings to individuals and businesses.It is a secure UX first app intended to cater comprehensive digital meeds.I am also happy to know that Dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21,282,Dashen Bank,Google Play Store,0.041,0.742,0.217,0.8669,positive
"the very easy, secured, fast and multifunctional dashen supper application I ever seen. dashen really one steps ahead!!!",5,2025-04-21,120,Dashen Bank,Google Play Store,0.0,0.694,0.306,0.7934,positive
"One app for everything! I can shop, manage my bank account , and do so much more . Truly a super app",5,2025-04-21,100,Dashen Bank,Google Play Store,0.0,0.731,0.269,0.8111,positive
one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21,100,Dashen Bank,Google Play Store,0.0,0.77,0.23,0.6696,positive
"Dashen Bank super App is the most suitable, reliable, and fast digital banking system.",5,2025-04-21,86,Dashen Bank,Google Play Store,0.0,0.769,0.231,0.5994,positive
Excellent app.,5,2025-04-21,14,Dashen Bank,Google Play Store,0.0,0.213,0.787,0.5719,positive
This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21,144,Dashen Bank,Google Play Store,0.0,0.841,0.159,0.5994,positive
thanks again,5,2025-04-21,12,Dashen Bank,Google Play Store,0.0,0.256,0.744,0.4404,positive
Super Easy To Use and Fast Transaction.,5,2025-04-21,39,Dashen Bank,Google Play Store,0.0,0.424,0.576,0.7783,positive
"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,136,Dashen Bank,Google Play Store,0.0,0.757,0.243,0.8271,positive
"i can't recommend the Dashen Super App enough! This app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. It combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks The user interface is modern, intuitive, and super responsive, making navigation a breeze. Whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21,467,Dashen Bank,Google Play Store,0.025,0.777,0.199,0.941,positive
"The app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. It’s saved me a lot of time and made banking way more convenient. Definitely worth checking out!",5,2025-04-21,203,Dashen Bank,Google Play Store,0.0,0.785,0.215,0.8039,positive
what an App,5,2025-04-21,11,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21,67,Dashen Bank,Google Play Store,0.0,0.523,0.477,0.807,positive
"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21,254,Dashen Bank,Google Play Store,0.0,0.716,0.284,0.9099,positive
"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21,426,Dashen Bank,Google Play Store,0.0,0.902,0.098,0.765,positive
"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21,238,Dashen Bank,Google Play Store,0.0,0.65,0.35,0.945,positive
"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",5,2025-04-21,103,Dashen Bank,Google Play Store,0.0,0.688,0.312,0.7089,positive
"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",5,2025-04-21,178,Dashen Bank,Google Play Store,0.0,0.613,0.387,0.9412,positive
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21,318,Dashen Bank,Google Play Store,0.023,0.842,0.136,0.7892,positive
the chat banking and unique and only app that alow money request!!,5,2025-04-21,66,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
Better and inclusive app!,5,2025-04-21,25,Dashen Bank,Google Play Store,0.0,0.484,0.516,0.4926,positive
Amazing Application,5,2025-04-21,19,Dashen Bank,Google Play Store,0.0,0.208,0.792,0.5859,positive
It keep my time to pay my bills and I generate my satment easily,5,2025-04-21,64,Dashen Bank,Google Play Store,0.089,0.759,0.152,0.25,positive
"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,62,Dashen Bank,Google Play Store,0.0,0.441,0.559,0.9081,positive
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,5,2025-04-21,141,Dashen Bank,Google Play Store,0.0,0.739,0.261,0.6486,positive
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",5,2025-04-21,103,Dashen Bank,Google Play Store,0.0,0.705,0.295,0.7717,positive
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",5,2025-04-21,75,Dashen Bank,Google Play Store,0.0,0.759,0.241,0.5859,positive
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21,224,Dashen Bank,Google Play Store,0.053,0.494,0.452,0.9682,positive
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",5,2025-04-21,182,Dashen Bank,Google Play Store,0.0,0.812,0.188,0.6239,positive
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",5,2025-04-21,298,Dashen Bank,Google Play Store,0.0,0.833,0.167,0.8221,positive
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,5,2025-04-21,128,Dashen Bank,Google Play Store,0.071,0.677,0.252,0.765,positive
"All-in-one finance & e-commerce super app! Pay, save, shop seamlessly. Fast, secure. #BankAndShop",5,2025-04-21,97,Dashen Bank,Google Play Store,0.069,0.446,0.485,0.8553,positive
it's a hestorical app. in the bank industry.,5,2025-04-21,44,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
"A game changer in Ethiopian digital banking fast, secure, and packed with services. Everything you need, all in one powerful app. A true leap toward financial convenience and innovation!",4,2025-04-21,186,Dashen Bank,Google Play Store,0.0,0.697,0.303,0.8718,positive
"easy &,simple to use",5,2025-04-21,20,Dashen Bank,Google Play Store,0.0,0.508,0.492,0.4404,positive
"Banking, but make it smart. Local solutions, all in one place. Smooth, fast, and actually saving time. Feels like the future. Love it!",5,2025-04-21,134,Dashen Bank,Google Play Store,0.0,0.56,0.44,0.9427,positive
"All in one, that is it 👌",5,2025-04-21,24,Dashen Bank,Google Play Store,0.0,0.495,0.505,0.7297,positive
", Dashen Bank Supper App is multipurpose, convenient, very attractive and Make life easier",5,2025-04-21,90,Dashen Bank,Google Play Store,0.0,0.667,0.333,0.7178,positive
very easy and flexible app.,5,2025-04-21,27,Dashen Bank,Google Play Store,0.0,0.359,0.641,0.6549,positive
"I choose Dashen Bank Super Up since, it is easy to use & it has attractive features !",5,2025-04-21,85,Dashen Bank,Google Play Store,0.0,0.6,0.4,0.8748,positive
dashen super app is simple faster and reliable.,5,2025-04-21,47,Dashen Bank,Google Play Store,0.0,0.642,0.358,0.5994,positive
"Dashen Bank Super App is a game-changer! The user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. It’s fast, secure, and truly reflects the bank’s commitment to digital excellence. Highly recommended!",5,2025-04-21,268,Dashen Bank,Google Play Store,0.0,0.633,0.367,0.9557,positive
"The app keeps getting better with every update! Smooth performance, great UI, and top-notch security. Thank you for making banking so convenient!""",5,2025-04-21,146,Dashen Bank,Google Play Store,0.0,0.59,0.41,0.9097,positive
this app is the most simply to use and secure safe i love it to use for any bank transaction,5,2025-04-21,92,Dashen Bank,Google Play Store,0.0,0.642,0.358,0.8591,positive
"After i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",5,2025-04-21,139,Dashen Bank,Google Play Store,0.0,0.783,0.217,0.7269,positive
An app with High performance and advanced features!,5,2025-04-21,51,Dashen Bank,Google Play Store,0.0,0.753,0.247,0.3164,positive
"It is a very user friendly, attractive user interface, full of useful features. I really encourage everyone to give it a try.",5,2025-04-21,125,Dashen Bank,Google Play Store,0.0,0.578,0.422,0.9207,positive
"Good actually , but it have to WORK when developer option is on 🙏",5,2025-04-21,65,Dashen Bank,Google Play Store,0.0,0.878,0.122,0.2382,positive
"All-in-one convenience, From managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",5,2025-04-21,153,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
I appreciate that Dashen Bank takes lifestyle services into account.,5,2025-04-21,68,Dashen Bank,Google Play Store,0.0,0.769,0.231,0.4019,positive
keep it up!,5,2025-04-21,11,Dashen Bank,Google Play Store,0.0,1.0,0.0,0.0,neutral
amazing app really i loved it .that's why we say dashen bank is one stap ahead. It's the best mobile application that should be on every phone.,5,2025-04-21,143,Dashen Bank,Google Play Store,0.0,0.663,0.337,0.9213,positive
very comfortable app keep it,5,2025-04-21,28,Dashen Bank,Google Play Store,0.0,0.527,0.473,0.5563,positive
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,5,2025-04-21,145,Dashen Bank,Google Play Store,0.0,0.693,0.307,0.8771,positive
"I have been using the Dashen Supper app mobile banking app , and overall, I appreciate its features.However,I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications . Thank you for your attention to this matter!",5,2025-04-21,380,Dashen Bank,Google Play Store,0.022,0.832,0.146,0.8449,positive
easiness to use with fast response time,5,2025-04-21,39,Dashen Bank,Google Play Store,0.0,0.698,0.302,0.3818,positive
"The new mobile banking application is a major upgrade! It’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. I really appreciate how fast it loads and how smooth the overall experience is. All essential services like balance checks, transfers, and bill payments are eas y to find and use. The added security features give me peace of mind, and the app runs reliably without crashes or glitches. It’s clear a lot of thought went into the user experi",5,2025-04-21,500,Dashen Bank,Google Play Store,0.0,0.821,0.179,0.9431,positive
