review,rating,date,review_length,bank,source,neg,neu,pos,compound,sentiment
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,446,CBE,Google Play Store,0.046,0.818,0.137,0.8567,positive
Masha alla,5,2025-05-31,10,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,370,CBE,Google Play Store,0.055,0.922,0.023,-0.3174,negative
better service,5,2025-05-31,14,CBE,Google Play Store,0.0,0.256,0.744,0.4404,positive
"it,s good app and time manager 👍",5,2025-05-30,32,CBE,Google Play Store,0.0,0.707,0.293,0.4404,positive
malkaamuu Jiidhaa Namoo,5,2025-05-30,23,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
lower system everything,3,2025-05-30,23,CBE,Google Play Store,0.524,0.476,0.0,-0.296,negative
Nice!,5,2025-05-30,5,CBE,Google Play Store,0.0,0.0,1.0,0.4753,positive
Keep it up My CBE,5,2025-05-29,17,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
yes good,5,2025-05-28,8,CBE,Google Play Store,0.0,0.0,1.0,0.6808,positive
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,196,CBE,Google Play Store,0.115,0.828,0.057,-0.3274,negative
i like everything of this app,5,2025-05-27,29,CBE,Google Play Store,0.0,0.667,0.333,0.3612,positive
🤬🤬🤬🤬 network 🛜,1,2025-05-26,14,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Best,5,2025-05-26,4,CBE,Google Play Store,0.0,0.0,1.0,0.6369,positive
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,167,CBE,Google Play Store,0.0,0.689,0.311,0.9041,positive
nice,5,2025-05-26,4,CBE,Google Play Store,0.0,0.0,1.0,0.4215,positive
good job,5,2025-05-26,8,CBE,Google Play Store,0.0,0.256,0.744,0.4404,positive
it's awesome!!,5,2025-05-25,14,CBE,Google Play Store,0.0,0.176,0.824,0.6892,positive
thankyou every one,5,2025-05-25,18,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Ronaldo 🇵🇹 🥇,5,2025-05-25,12,CBE,Google Play Store,0.0,0.563,0.437,0.4767,positive
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,106,CBE,Google Play Store,0.0,0.525,0.475,0.9377,positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,490,CBE,Google Play Store,0.126,0.84,0.034,-0.7841,negative
mortuary app,5,2025-05-25,12,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,94,CBE,Google Play Store,0.0,0.915,0.085,0.2144,positive
amazing app I am used this app for one year,4,2025-05-24,43,CBE,Google Play Store,0.0,0.703,0.297,0.5859,positive
good app,5,2025-05-24,8,CBE,Google Play Store,0.0,0.256,0.744,0.4404,positive
i love it 😍😘,5,2025-05-24,12,CBE,Google Play Store,0.0,0.444,0.556,0.875,positive
It makes life easy!👌,5,2025-05-24,20,CBE,Google Play Store,0.0,0.243,0.757,0.8528,positive
its not fast,1,2025-05-24,12,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
wow,4,2025-05-24,3,CBE,Google Play Store,0.0,0.0,1.0,0.5859,positive
it is sooo good,5,2025-05-24,15,CBE,Google Play Store,0.0,0.508,0.492,0.4404,positive
excellent,5,2025-05-24,9,CBE,Google Play Store,0.0,0.0,1.0,0.5719,positive
Fantastic,5,2025-05-23,9,CBE,Google Play Store,0.0,0.0,1.0,0.5574,positive
accessible to using,5,2025-05-23,19,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
I like it,4,2025-05-23,9,CBE,Google Play Store,0.0,0.444,0.556,0.3612,positive
why you change default network?,5,2025-05-23,31,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
very nice 👍,5,2025-05-23,11,CBE,Google Play Store,0.0,0.492,0.508,0.4754,positive
nice fast app,5,2025-05-23,13,CBE,Google Play Store,0.0,0.417,0.583,0.4215,positive
how to I get my money,5,2025-05-23,21,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Very bad, can't even load they need to improve their services.",1,2025-05-22,62,CBE,Google Play Store,0.242,0.574,0.185,-0.2247,negative
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,67,CBE,Google Play Store,0.0,0.686,0.314,0.6183,positive
very busy I don't know why... I prefer 889,3,2025-05-22,42,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,70,CBE,Google Play Store,0.239,0.517,0.244,0.0343,neutral
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,110,CBE,Google Play Store,0.156,0.844,0.0,-0.3804,negative
hojii bonsaadha,5,2025-05-22,15,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
user-friendly apps.because this app is easy.,5,2025-05-22,44,CBE,Google Play Store,0.0,0.633,0.367,0.4404,positive
Awosome!!!,5,2025-05-22,10,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Very good app,",5,2025-05-22,14,CBE,Google Play Store,0.0,0.385,0.615,0.4927,positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,66,CBE,Google Play Store,0.098,0.637,0.265,0.4854,positive
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,42,CBE,Google Play Store,0.0,0.744,0.256,0.4754,positive
I hate this app 😒,1,2025-05-22,17,CBE,Google Play Store,0.425,0.575,0.0,-0.5719,negative
trustful,5,2025-05-22,8,CBE,Google Play Store,0.0,0.0,1.0,0.4767,positive
I like,5,2025-05-22,6,CBE,Google Play Store,0.0,0.286,0.714,0.3612,positive
update issue,4,2025-05-22,12,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
its not working over safari network,1,2025-05-22,35,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
oldie,1,2025-05-22,5,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
it doesn't work,1,2025-05-21,15,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"This app is good, and we are using it well",1,2025-05-21,42,CBE,Google Play Store,0.0,0.615,0.385,0.6124,positive
very nice 👌 app for android phone,5,2025-05-21,33,CBE,Google Play Store,0.0,0.339,0.661,0.8679,positive
Yes Yes,5,2025-05-21,7,CBE,Google Play Store,0.0,0.0,1.0,0.6597,positive
በጣም ከርፋፋ,1,2025-05-21,8,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
easy to use helpful in my life,5,2025-05-21,30,CBE,Google Play Store,0.0,0.467,0.533,0.6908,positive
good 👍,4,2025-05-21,6,CBE,Google Play Store,0.0,0.408,0.592,0.4404,positive
the best mobile banking app,5,2025-05-21,27,CBE,Google Play Store,0.0,0.488,0.512,0.6369,positive
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,58,CBE,Google Play Store,0.0,0.617,0.383,0.6801,positive
it's a good application 👍,5,2025-05-21,25,CBE,Google Play Store,0.0,0.633,0.367,0.4404,positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,101,CBE,Google Play Store,0.201,0.799,0.0,-0.5836,negative
poor service,1,2025-05-21,12,CBE,Google Play Store,0.756,0.244,0.0,-0.4767,negative
amazing,5,2025-05-20,7,CBE,Google Play Store,0.0,0.0,1.0,0.5859,positive
it is reliable and easy to use.,5,2025-05-20,31,CBE,Google Play Store,0.0,0.674,0.326,0.4404,positive
the most annoying mobile banking app I've ever seen,1,2025-05-20,51,CBE,Google Play Store,0.272,0.728,0.0,-0.4576,negative
Cbe mobile banking,5,2025-05-20,18,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"i can't make Screenshout in this app, please made modification",5,2025-05-20,62,CBE,Google Play Store,0.0,0.796,0.204,0.3182,positive
Best app I loved it,5,2025-05-19,19,CBE,Google Play Store,0.0,0.27,0.73,0.8442,positive
nice app,5,2025-05-19,8,CBE,Google Play Store,0.0,0.263,0.737,0.4215,positive
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,42,CBE,Google Play Store,0.0,0.494,0.506,0.6239,positive
well satisfied with this beautiful app,5,2025-05-18,38,CBE,Google Play Store,0.0,0.254,0.746,0.8316,positive
very good,4,2025-05-17,9,CBE,Google Play Store,0.0,0.238,0.762,0.4927,positive
best app.,5,2025-05-17,9,CBE,Google Play Store,0.0,0.192,0.808,0.6369,positive
"not working,why???",5,2025-05-17,18,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,62,CBE,Google Play Store,0.0,0.855,0.145,0.3716,positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,147,CBE,Google Play Store,0.274,0.593,0.132,-0.6209,negative
woxe harimo ribiso,5,2025-05-17,18,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Good ,easy to use",5,2025-05-16,17,CBE,Google Play Store,0.0,0.256,0.744,0.7003,positive
Good app,5,2025-05-15,8,CBE,Google Play Store,0.0,0.256,0.744,0.4404,positive
Good job👍,5,2025-05-14,9,CBE,Google Play Store,0.0,0.508,0.492,0.4404,positive
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,198,CBE,Google Play Store,0.109,0.621,0.27,0.7579,positive
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,350,CBE,Google Play Store,0.0,0.837,0.163,0.8728,positive
customer service is bad nothing is good about this bank,1,2025-05-13,55,CBE,Google Play Store,0.425,0.575,0.0,-0.7101,negative
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,85,CBE,Google Play Store,0.0,0.774,0.226,0.5859,positive
fast and simple easy to use 👌,5,2025-05-12,29,CBE,Google Play Store,0.0,0.356,0.644,0.8415,positive
The fastest transferring app I ever had its so reliable,5,2025-05-11,55,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,121,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
it's easy and fast,5,2025-05-10,18,CBE,Google Play Store,0.0,0.508,0.492,0.4404,positive
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,91,CBE,Google Play Store,0.185,0.815,0.0,-0.5267,negative
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,113,CBE,Google Play Store,0.0,0.399,0.601,0.9524,positive
wow best application ever,5,2025-05-09,25,CBE,Google Play Store,0.0,0.2,0.8,0.8402,positive
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,141,CBE,Google Play Store,0.179,0.734,0.087,-0.4871,negative
the pride of Ethiopian bank 🏦,5,2025-05-08,29,CBE,Google Play Store,0.0,0.676,0.324,0.34,positive
why the app telling me to turn of developer options please fix it.,1,2025-05-07,66,CBE,Google Play Store,0.0,0.839,0.161,0.3182,positive
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,98,CBE,Google Play Store,0.0,0.84,0.16,0.6115,positive
amazing apps,5,2025-05-06,12,CBE,Google Play Store,0.0,0.208,0.792,0.5859,positive
All service of Mobile Banking,5,2025-05-06,29,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
needs improvement,1,2025-05-06,17,CBE,Google Play Store,0.0,0.25,0.75,0.4588,positive
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,58,CBE,Google Play Store,0.118,0.882,0.0,-0.1531,negative
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,290,CBE,Google Play Store,0.039,0.701,0.26,0.9348,positive
good but these week not oky,4,2025-05-06,27,CBE,Google Play Store,0.0,0.719,0.281,0.2382,positive
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,87,CBE,Google Play Store,0.0,0.619,0.381,0.7772,positive
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,164,CBE,Google Play Store,0.0,0.844,0.156,0.5307,positive
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,124,CBE,Google Play Store,0.0,0.761,0.239,0.765,positive
CBE mobilr bankg,5,2025-05-05,16,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
verygood,3,2025-05-05,8,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
ممتاز جدا,5,2025-05-04,9,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
it's very low quality application,1,2025-05-04,33,CBE,Google Play Store,0.374,0.626,0.0,-0.3384,negative
Very Amazing Apps,5,2025-05-04,17,CBE,Google Play Store,0.0,0.328,0.672,0.624,positive
wow simple life,5,2025-05-04,15,CBE,Google Play Store,0.0,0.345,0.655,0.5859,positive
it's nice,5,2025-05-03,9,CBE,Google Play Store,0.0,0.263,0.737,0.4215,positive
Why stacked sometimes,5,2025-05-03,21,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
okay 👍 but sometimes busy,1,2025-05-03,25,CBE,Google Play Store,0.0,0.775,0.225,0.1154,positive
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,94,CBE,Google Play Store,0.315,0.685,0.0,-0.7845,negative
Very good app. but disappointed by general cessation of system.,5,2025-05-02,63,CBE,Google Play Store,0.291,0.562,0.147,-0.4684,negative
Good and fast,5,2025-05-02,13,CBE,Google Play Store,0.0,0.408,0.592,0.4404,positive
Unreliable!,1,2025-05-02,11,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Best the best fast,5,2025-05-02,18,CBE,Google Play Store,0.0,0.192,0.808,0.8555,positive
happy,5,2025-05-02,5,CBE,Google Play Store,0.0,0.0,1.0,0.5719,positive
fast and reliable,5,2025-05-02,17,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
network errorrrrrr,2,2025-05-02,18,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,118,CBE,Google Play Store,0.118,0.796,0.086,-0.2382,negative
its good and simple to use,5,2025-05-02,26,CBE,Google Play Store,0.0,0.633,0.367,0.4404,positive
worest app like that bank for security and network access,1,2025-05-02,57,CBE,Google Play Store,0.0,0.62,0.38,0.5994,positive
it's the best app i,5,2025-05-02,19,CBE,Google Play Store,0.0,0.488,0.512,0.6369,positive
not bad not good,1,2025-05-02,16,CBE,Google Play Store,0.0,0.29,0.71,0.5981,positive
its very nice,5,2025-05-02,13,CBE,Google Play Store,0.0,0.393,0.607,0.4754,positive
do not work this week,3,2025-04-30,21,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
It crashes frequently,4,2025-04-30,21,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
the best,5,2025-04-28,8,CBE,Google Play Store,0.0,0.192,0.808,0.6369,positive
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,64,CBE,Google Play Store,0.0,0.797,0.203,0.4215,positive
goid,5,2025-04-28,4,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
best appearance,5,2025-04-27,15,CBE,Google Play Store,0.0,0.192,0.808,0.6369,positive
it's very good 👍 app,5,2025-04-27,20,CBE,Google Play Store,0.0,0.61,0.39,0.4927,positive
I need support you,5,2025-04-27,18,CBE,Google Play Store,0.0,0.526,0.474,0.4019,positive
the worst Mobile banking i have ever seen in my life,1,2025-04-26,52,CBE,Google Play Store,0.291,0.709,0.0,-0.6249,negative
super,5,2025-04-26,5,CBE,Google Play Store,0.0,0.0,1.0,0.5994,positive
ጠጀጨገጀ።ጀገ,5,2025-04-26,8,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
i like the app,5,2025-04-26,14,CBE,Google Play Store,0.0,0.545,0.455,0.3612,positive
the Best,1,2025-04-26,8,CBE,Google Play Store,0.0,0.192,0.808,0.6369,positive
to other bank is bad,1,2025-04-25,20,CBE,Google Play Store,0.467,0.533,0.0,-0.5423,negative
tank's,5,2025-04-25,6,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
its good but add more features such like. bank statement showing,5,2025-04-24,64,CBE,Google Play Store,0.0,0.617,0.383,0.6804,positive
it is so nice,5,2025-04-24,13,CBE,Google Play Store,0.0,0.453,0.547,0.5598,positive
Very Good👍,5,2025-04-21,10,CBE,Google Play Store,0.0,0.484,0.516,0.4927,positive
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,391,CBE,Google Play Store,0.169,0.831,0.0,-0.8797,negative
"wow, amazing app",5,2025-04-21,16,CBE,Google Play Store,0.0,0.116,0.884,0.8225,positive
use ful,5,2025-04-21,7,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Great app,5,2025-04-21,9,CBE,Google Play Store,0.0,0.196,0.804,0.6249,positive
well app,5,2025-04-20,8,CBE,Google Play Store,0.0,0.323,0.677,0.2732,positive
Actually it is inactive,4,2025-04-19,23,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"slow, only one account is used",2,2025-04-19,30,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,44,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
i like it,5,2025-04-18,9,CBE,Google Play Store,0.0,0.444,0.556,0.3612,positive
why removing screenshot feature why?,1,2025-04-18,36,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
nice apps where network is good in connection,5,2025-04-18,45,CBE,Google Play Store,0.0,0.513,0.487,0.6908,positive
Thank you!!!,5,2025-04-18,12,CBE,Google Play Store,0.0,0.229,0.771,0.5229,positive
i can't take screenshot,1,2025-04-18,23,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,256,CBE,Google Play Store,0.0,0.842,0.158,0.7823,positive
perfectly special,5,2025-04-18,17,CBE,Google Play Store,0.0,0.0,1.0,0.7845,positive
Fast and Reliable,5,2025-04-18,17,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,67,CBE,Google Play Store,0.0,0.704,0.296,0.6369,positive
great app!!!,5,2025-04-17,12,CBE,Google Play Store,0.0,0.167,0.833,0.7163,positive
because sometimes it doesn't working it load too much,3,2025-04-17,53,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,67,CBE,Google Play Store,0.0,0.549,0.451,0.7629,positive
very nice app ever!!!,5,2025-04-16,21,CBE,Google Play Store,0.0,0.43,0.57,0.6084,positive
the best app,5,2025-04-16,12,CBE,Google Play Store,0.0,0.323,0.677,0.6369,positive
Biometric security for mobile banking is not available,5,2025-04-16,54,CBE,Google Play Store,0.0,0.745,0.255,0.34,positive
great,5,2025-04-15,5,CBE,Google Play Store,0.0,0.0,1.0,0.6249,positive
Nice service,5,2025-04-15,12,CBE,Google Play Store,0.0,0.263,0.737,0.4215,positive
great app,5,2025-04-15,9,CBE,Google Play Store,0.0,0.196,0.804,0.6249,positive
it's special apps,5,2025-04-15,17,CBE,Google Play Store,0.0,0.426,0.574,0.4019,positive
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,78,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,30,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Good 🔥,5,2025-04-14,6,CBE,Google Play Store,0.453,0.0,0.547,0.128,positive
very interesting app i am using every day fantastic,5,2025-04-14,51,CBE,Google Play Store,0.0,0.515,0.485,0.7645,positive
lebaa bank,5,2025-04-14,10,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,56,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
grateful app,5,2025-04-13,12,CBE,Google Play Store,0.0,0.25,0.75,0.4588,positive
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,27,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
everthing wellbeok,3,2025-04-13,18,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,256,CBE,Google Play Store,0.0,0.911,0.089,0.6486,positive
nice app 👌,5,2025-04-12,10,CBE,Google Play Store,0.0,0.101,0.899,0.8374,positive
why did this app is not screenshot,5,2025-04-12,34,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
it so good app,5,2025-04-12,14,CBE,Google Play Store,0.0,0.484,0.516,0.4927,positive
جميل,5,2025-04-11,4,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
"less network, specially to make fee for utility purpose",1,2025-04-11,55,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
simply for used,4,2025-04-11,15,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
wow keep up,5,2025-04-10,11,CBE,Google Play Store,0.0,0.345,0.655,0.5859,positive
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,78,CBE,Google Play Store,0.0,0.718,0.282,0.6705,positive
good one,5,2025-04-10,8,CBE,Google Play Store,0.0,0.256,0.744,0.4404,positive
everything is easy thank you cebe,5,2025-04-10,33,CBE,Google Play Store,0.0,0.426,0.574,0.6597,positive
ፈጣን ቀልጣፋ,5,2025-04-10,8,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
ጎበዝ,5,2025-04-09,3,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
but this app says can't sync,5,2025-04-09,28,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
waw,5,2025-04-09,3,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
to slow,3,2025-04-09,7,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
work on screen shot system,4,2025-04-08,26,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
very very nice aplication,1,2025-04-08,25,CBE,Google Play Store,0.0,0.471,0.529,0.5222,positive
wonder full and it is easy to use,5,2025-04-08,33,CBE,Google Play Store,0.0,0.707,0.293,0.4404,positive
easy and reliable,2,2025-04-08,17,CBE,Google Play Store,0.0,0.408,0.592,0.4404,positive
it is Very Useful app 👍,5,2025-04-07,23,CBE,Google Play Store,0.0,0.653,0.347,0.4927,positive
perfect app,5,2025-04-07,11,CBE,Google Play Store,0.0,0.213,0.787,0.5719,positive
I like it.,5,2025-04-07,10,CBE,Google Play Store,0.0,0.444,0.556,0.3612,positive
bugs,3,2025-04-07,4,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
commerial Bank,5,2025-04-06,14,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
Genat biru,2,2025-04-06,10,CBE,Google Play Store,0.0,1.0,0.0,0.0,neutral
