review,sentiment,cluster
Awosome!!!,neutral,0
"Very good app,",positive,2
sync problem may 22 2025 but the date stack on may 8 2025 help pls,positive,0
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,positive,0
I hate this app 😒,negative,2
trustful,positive,0
I like,positive,0
update issue,neutral,0
its not working over safari network,neutral,0
oldie,neutral,0
it doesn't work,neutral,0
"This app is good, and we are using it well",positive,2
very nice 👌 app for android phone,positive,2
Yes Yes,positive,0
በጣም ከርፋፋ,neutral,0
easy to use helpful in my life,positive,0
good 👍,positive,2
the best mobile banking app,positive,2
"this app is very useful app,it saves time,and it is secure",positive,2
it's a good application 👍,positive,1
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,negative,0
poor service,negative,0
amazing,positive,0
it is reliable and easy to use.,positive,0
the most annoying mobile banking app I've ever seen,negative,0
Cbe mobile banking,neutral,3
"i can't make Screenshout in this app, please made modification",positive,2
Best app I loved it,positive,2
nice app,positive,2
Amazing applicatiom sometimes doesnt work!,positive,0
well satisfied with this beautiful app,positive,2
very good,positive,2
best app.,positive,2
"not working,why???",neutral,0
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,positive,0
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,negative,1
woxe harimo ribiso,neutral,0
"Good ,easy to use",positive,2
Good app,positive,2
Good job👍,positive,2
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",positive,0
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,positive,1
customer service is bad nothing is good about this bank,negative,0
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,positive,0
fast and simple easy to use 👌,positive,0
The fastest transferring app I ever had its so reliable,neutral,0
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",neutral,0
it's easy and fast,positive,0
This app don't have self activation only you have to look near cbe branch that's disgusting,negative,3
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,positive,3
wow best application ever,positive,1
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,1
the pride of Ethiopian bank 🏦,positive,0
why the app telling me to turn of developer options please fix it.,positive,0
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,positive,0
amazing apps,positive,0
All service of Mobile Banking,neutral,0
needs improvement,positive,0
i miss the old one i couldn't send my mony to other bank..,negative,0
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,positive,2
good but these week not oky,positive,2
well designed! Fixing bugs & two step verification with biometric... simply it's great!,positive,0
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,positive,0
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",positive,0
CBE mobilr bankg,neutral,3
verygood,neutral,0
ممتاز جدا,neutral,0
it's very low quality application,negative,1
Very Amazing Apps,positive,0
wow simple life,positive,0
it's nice,positive,0
Why stacked sometimes,neutral,0
okay 👍 but sometimes busy,positive,0
the worst commercial company that fails to do even the most normal things again and and again.,negative,0
Very good app. but disappointed by general cessation of system.,negative,2
Good and fast,positive,2
Unreliable!,neutral,0
Best the best fast,positive,0
happy,positive,0
fast and reliable,neutral,0
network errorrrrrr,neutral,0
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,negative,0
its good and simple to use,positive,2
worest app like that bank for security and network access,positive,0
it's the best app i,positive,2
not bad not good,positive,2
its very nice,positive,0
do not work this week,neutral,0
It crashes frequently,neutral,0
the best,positive,0
"I can simply describe this app as ""Making all your work easier"".",positive,0
goid,neutral,0
best appearance,positive,0
it's very good 👍 app,positive,2
I need support you,positive,0
the worst Mobile banking i have ever seen in my life,negative,0
super,positive,0
ጠጀጨገጀ።ጀገ,neutral,0
i like the app,positive,2
the Best,positive,0
to other bank is bad,negative,0
tank's,neutral,0
its good but add more features such like. bank statement showing,positive,0
it is so nice,positive,0
Very Good👍,positive,2
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",negative,0
"wow, amazing app",positive,0
use ful,neutral,0
Great app,positive,2
well app,positive,2
Actually it is inactive,neutral,0
"slow, only one account is used",neutral,0
always CBE is the leading Commercial Bank💪💪💪,neutral,3
i like it,positive,0
why removing screenshot feature why?,neutral,0
nice apps where network is good in connection,positive,0
Thank you!!!,positive,0
i can't take screenshot,neutral,0
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",positive,0
perfectly special,positive,0
Fast and Reliable,neutral,0
The best application I have ever seen in Ethiopia banking industry.,positive,1
great app!!!,positive,2
because sometimes it doesn't working it load too much,neutral,0
"Absolutely the best app! It works flawlessly, anytime and anywhere.",positive,0
very nice app ever!!!,positive,2
the best app,positive,2
Biometric security for mobile banking is not available,positive,0
great,positive,0
Nice service,positive,0
great app,positive,2
it's special apps,positive,0
"In the updated version of the app, it takes more time to download the receipt.",neutral,0
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,neutral,0
Good 🔥,positive,2
very interesting app i am using every day fantastic,positive,0
lebaa bank,neutral,0
Can't scan/recognize other banks' Interoperable QR Codes,neutral,0
grateful app,positive,2
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,neutral,0
everthing wellbeok,neutral,0
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",positive,0
nice app 👌,positive,2
why did this app is not screenshot,neutral,0
it so good app,positive,2
جميل,neutral,0
"less network, specially to make fee for utility purpose",neutral,0
simply for used,neutral,0
wow keep up,positive,0
its great app but when updating we can't take screen shot please try to fix it,positive,0
good one,positive,2
everything is easy thank you cebe,positive,0
ፈጣን ቀልጣፋ,neutral,0
ጎበዝ,neutral,0
but this app says can't sync,neutral,0
waw,neutral,0
to slow,neutral,0
work on screen shot system,neutral,0
very very nice aplication,positive,0
wonder full and it is easy to use,positive,0
easy and reliable,positive,0
it is Very Useful app 👍,positive,2
perfect app,positive,0
I like it.,positive,0
bugs,neutral,0
commerial Bank,neutral,0
Genat biru,neutral,0
it is good but it doesn't allow screen shot,neutral,0
the best one,positive,0
You need to copy many things from other bank apps like Amole(Dashen),positive,0
bring back the screenshot feature.,neutral,0
Good!👍,positive,2
best app to experience him that to smooth transaction among the customers,positive,0
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,positive,0
easy to use,positive,0
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",positive,1
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,neutral,0
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,positive,0
cool ❤,positive,0
Best app,positive,2
best banking App,positive,2
satisfied,positive,0
this app is very necessary app many people found it,neutral,2
cbe very active Bank I'm using CBE app very very satisfaction,positive,3
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,positive,2
perfect,positive,0
thankyou,neutral,0
I Like it,positive,0
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",positive,0
smart app,positive,2
isin ga'a,neutral,0
it's great,positive,0
very good app and stars faction with work,positive,2
It is excelent,neutral,0
Smart,positive,0
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,neutral,0
very interesting app,positive,2
wow.......cbe.....keep it up.....!!!!!!,neutral,3
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,neutral,0
Excellent🙏app,positive,2
the most useful,positive,0
I am more satisfied in this app . More sure you have to secure.,positive,0
Easy to use,positive,0
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",neutral,3
Excellent !!!,positive,0
always we relay on,neutral,0
I'm lucky to have this🙏 thank you CBE.,positive,3
it's need more improvement like Tellbirr.,positive,0
goode app,neutral,2
a very nice app.👍👍👍,positive,2
safe easy & fast,positive,0
it's good app,positive,2
It is veary useful app but screen shout was impossible .solve this problem,negative,0
ጥሩ ነው,neutral,0
እጅግ በጣም ጥሩ አፕ,neutral,0
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,neutral,0
suitable app,neutral,2
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,positive,3
best transaction method of financial,positive,0
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,positive,3
It literarily don't work at all,neutral,0
good give us plus,positive,2
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",positive,1
before update it was able to screenshot while after update I can't able to screenshot the transfere details,neutral,0
Tnc Cbe,neutral,3
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,positive,3
great apps,positive,0
Excellent,positive,0
Great app!,positive,2
CBE,neutral,3
very good 👍 👏,positive,2
great when it works,positive,0
"the app is very good, but why screenshots is impossible?",positive,2
excellent match application,positive,1
The Best app😍😍😍,positive,2
excellent app,positive,2
easy to use and user friendly,positive,0
very nice,positive,0
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,neutral,0
well software,positive,0
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,neutral,0
CBE very good apps,positive,3
"This application fast, secure and more convenient. Thanks CBE",positive,1
excellent service,positive,0
it's best,positive,0
Why didn't you display cash transactions and bank statement in the mobile banking app?,neutral,0
Amazing app,positive,2
our legitimate bank,neutral,0
Ever and never seen this kind of app I proud my CBE,positive,3
very good and safe for me!,positive,2
it is best bank,positive,0
"very good, but sometimes....",positive,2
ከአንድ መስሪያ ቤት ወይም ድርጅት ወይም ግለሰብ በርከት ላለ ሰው ሲላክ የላኪውን መስሪያ ቤት ወይም ድርጅት ወይም ግለሰብ እንዲያሳይ አታደርጉም ? ግለሰብ ለግለሰብ ወይም ለድርጅት ሲከፍል ያሳያል ።,neutral,0
Why not allowed to pay for fuel?,positive,0
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,negative,0
ቆንጆ ነው,neutral,0
Great version,positive,0
Good and easy to use,positive,2
nice app and fast money transfer,positive,0
Really automated...,neutral,0
good App,positive,2
bek betam kelal,neutral,0
ምርጥ አፕ ነው ተመችቶኛል❤❤,positive,0
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,positive,2
"very good, keep it up",positive,2
there is some issue the process it delay,negative,0
what an amazing application in Ethiopian Banking industry which is very interested one!,positive,1
interesting,positive,0
simple&fast!!!,neutral,0
it is very good app,positive,2
It is very excellent anddynamic plus user friend all in one bank apps of the era. I loved it.,positive,0
Very God thanks,positive,0
The sum is good.,positive,2
best of bests,positive,0
am happy thank you CBE🫡,positive,3
it's very nice 👍.,positive,0
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",positive,0
Very good,positive,2
halan garidhaa cbe,neutral,3
best apps for useing,positive,0
like it,positive,0
Good apps ...But fix the screenshot its not easy like before ......,negative,0
l love it,positive,0
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",negative,1
in this update why screenshoot is disabled now it's not working,neutral,0
"realy I donot seen like this application ! fast ,safe ande confortable",positive,1
Excellent but needed upgrading!,positive,0
goods app!! pleace update this apps??,neutral,0
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",negative,0
Fantastic app! I appreciate it very much,positive,0
Convenient app,neutral,2
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,neutral,0
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,positive,0
why why u remove screen shoot😡😡,negative,0
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",negative,0
very nice one,positive,0
good application,positive,1
problem solver and the best fast app,positive,0
ምርጥ አፕሊከሽን ነው ገንዘብ ለመላክም ሆነ ለማንኛውም ነገር ተመችቶኛል በዚው ቀጥሉበት,neutral,0
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,positive,0
you must added dark mode options ❗,neutral,0
Thank you,positive,0
cbe,neutral,3
ممتاز جدا جدا,neutral,0
very nice and convenient app,positive,2
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,negative,0
👍👍👍,neutral,0
Great experience so far but why this app ain't working while developer mode is on?,positive,0
why did the screen shot stopped ?????,negative,0
it's genuine app..,neutral,2
okay 👌👍,positive,0
it's a very good application but sometimes it takes a long time to synchronize,positive,1
commercial dank...,neutral,0
it's very good,positive,2
to getting money,neutral,0
some times it is difficult to get reciepts for the payment made,negative,0
this app is best,positive,2
it's very useful,positive,0
best app and update more features *****,positive,0
best app for this vast digital finanical word,positive,0
this app is my favorite application,positive,1
Hooo I love this application,positive,1
The app protects me from screenshot after update. Please make revision on the app.,positive,2
Screenshot or slip not working,neutral,0
thank you for help,positive,0
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,positive,0
Thise is helpfull and have good and easy for mobile money usage in ethiopia,positive,0
thank you,positive,0
good app.,positive,2
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",negative,0
