review,sentiment,cluster
Harun tamam galanaa,neutral,1
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",negative,1
Gamebela,neutral,1
so poor app to use can't start up when open the app,negative,1
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",positive,1
Good job,positive,1
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",negative,1
Bad app .,negative,3
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",negative,1
Review,neutral,1
Goood,neutral,1
👎👎👎👎👎👎👎👎👎,neutral,1
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,neutral,1
The previous version is better it doesn't work,positive,1
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",negative,1
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",positive,1
It's a useless app,negative,1
"It's not working as it was , so much need to improve, it was the best but not anymore",positive,1
Poor network,negative,1
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,negative,1
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,positive,1
"It's not working totally, what a useless app is it,",negative,1
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",negative,1
this is so disappointing app 😞,negative,1
አቢስኒያ የሁሉም ምርጫ,neutral,1
Nays,neutral,1
The worst app,negative,1
it can't even open and only display error messages,negative,1
not active,negative,1
To get good quality,positive,1
አይሰራም እኮ ምንድን ነው ችግሩ?,neutral,1
uselss app dont download,neutral,1
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",negative,1
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",neutral,1
Corrupted and poor app,negative,1
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,positive,1
FIX YOUR Apollo!! You guys where the best 👌,positive,1
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,neutral,1
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",negative,1
Poor application. It turned off by itself,negative,1
Allowed,neutral,1
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,negative,1
we want international mobile banking,positive,1
"screenshot isn't working, Please modify it",negative,1
Naziriet measho 89160437,neutral,1
Ahmed Mohammed husen,neutral,1
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,positive,1
I have experiance,neutral,1
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,negative,1
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,positive,1
ርይርፍ,neutral,1
The previous application is much better than this one,positive,1
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",positive,1
mal,neutral,1
It is not working at all,neutral,1
Excellent,positive,1
The poorest mobile banking survice ever. Only error reports frequently,negative,1
😞😞😞😞,negative,1
😡😡😡😡😡😡😡,neutral,1
The worst banking app,negative,1
The app is constantly crashing and freezing when to send to BOA customers' accounts.,negative,1
No work app,negative,1
Is ok but stop sundenly,negative,1
🤷🤷🤷,neutral,1
experienced,neutral,1
Very poor app. Its Always cresh and not compatible,negative,1
"It's not functional at all. It keeps saying ""error"". Unable to activate.",negative,1
I can't believe that Abyssinia develop this kind of trash app it have a lot of issues 👎👎👎,neutral,1
The new app is very good,positive,1
It's very good but sometimes isn't work probably,positive,1
It doesn't work,neutral,1
ጭራሽ አይነፋም,neutral,1
"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",neutral,1
The worst mobile banking app,negative,1
It is not fast,neutral,1
Useless,negative,1
The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,negative,1
Too late!,neutral,1
No work,negative,1
"Pretty good for a banking app, it still lacks some things with in the ui and with the speed of the app but overall it's a good application. Thank you 5/5👍🏻",positive,1
After update it doesn't work well,negative,1
Error occurred try again for 5 days tele birr user not found ለራሴ አዝዤ,negative,1
Good but Very slow.,positive,1
Very good app,positive,1
"It is so bad apps ,it doesn't work",negative,3
"From now on I will never going to use this app,It is a trash app.No one care about this app from bank I will rate them 0/5.",positive,1
It usually crashes and unable to process also it request to off the developer options,neutral,1
Miliyone.,neutral,1
Workneh girmamo,neutral,1
🙏🙏🙏,neutral,1
"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",negative,1
Is it even working these days? Please check it.,positive,1
"The app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......",neutral,1
Please make it functional.,positive,1
its best app but its don't working in poor connection area so,positive,1
Please Recover thank you,positive,1
This app doesn't work,neutral,1
"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",positive,1
the underrated app I've ever seen and ur banking system is Soo Idiocracy,neutral,1
It demands to disable developer option.,neutral,1
"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",negative,1
Open Open service,neutral,1
አፑ በጣም አስቸጋሪ ሆኗል,neutral,1
Its not working.,neutral,1
"Riddled with crashes, cant use it anymore. Very frustrating!",negative,1
Always error occured. The worst app ever,negative,1
ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ App.... ዛግግግ ነው ያረገኝ 😡😡😡,neutral,1
Excellent service,positive,1
It's not convenient,neutral,1
meskelu Metku,neutral,1
Verry nice,positive,1
It has become the most unreliable mibile banking app ever.,neutral,1
"አኘልኬሽኑ በሁሉም ነገር ጥሩ ነዉ,ነገር ግን Network በጣም ነዉ እሚያስቸገረው",neutral,1
The poorest mobile banking I have seen in the industry. Is not stable to login and post transactions. Is not attractive. Error reports frequently.,negative,1
👍👍👍,neutral,1
Really Bank,neutral,1
I like the the bank of Abyssinia is the best first bank of Ethiopia,positive,1
