review,sentiment,cluster,theme,bank
"For anyone who wants to download it, just don't!!!",neutral,1,Mixed App Performance,BOA
wonderful,positive,1,Mixed App Performance,BOA
all worck,neutral,1,Mixed App Performance,BOA
Loved it,positive,1,Mixed App Performance,BOA
Wow,positive,1,Mixed App Performance,BOA
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",positive,1,Mixed App Performance,BOA
Improved to be the best,positive,1,Mixed App Performance,BOA
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",negative,1,Mixed App Performance,BOA
BoA Greqt Ethiopian bank.,neutral,2,Positive User Experience & UI,BOA
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",positive,1,Mixed App Performance,BOA
Almost better compared to cbe where it is not qualified for,positive,1,Mixed App Performance,BOA
what awesome apps. it is very simple to use and more much important apps.,positive,1,Mixed App Performance,BOA
Wonderfull app,neutral,1,Mixed App Performance,BOA
i can't use this app why?,neutral,1,Mixed App Performance,BOA
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,positive,1,Mixed App Performance,BOA
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,negative,1,Mixed App Performance,BOA
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,negative,1,Mixed App Performance,BOA
Good app,positive,1,Mixed App Performance,BOA
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",neutral,1,Mixed App Performance,BOA
It has good features but sometimes it doesn't work...0,positive,1,Mixed App Performance,BOA
Very poor proformance,negative,1,Mixed App Performance,BOA
It's not opening. Really frustrating,positive,1,Mixed App Performance,BOA
Verry Amazing App from all IB,positive,1,Mixed App Performance,BOA
Not working on this days,neutral,1,Mixed App Performance,BOA
Thank you BoA,positive,2,Positive User Experience & UI,BOA
best banking app in the wworld,positive,1,Mixed App Performance,BOA
Nice app and it's easy to use,positive,1,Mixed App Performance,BOA
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",positive,1,Mixed App Performance,BOA
This is help full i like ittttt,positive,1,Mixed App Performance,BOA
The is not functional at all?,neutral,1,Mixed App Performance,BOA
Best bank,positive,1,Mixed App Performance,BOA
Make it easy and convienient to use and perfect for all to high prefrence and choice.,positive,1,Mixed App Performance,BOA
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,neutral,1,Mixed App Performance,BOA
I have been using this app for two years.It is amazing.,positive,1,Mixed App Performance,BOA
Good 👍,positive,1,Mixed App Performance,BOA
Sad experience,negative,1,Mixed App Performance,BOA
Always do update and that is annoying,negative,1,Mixed App Performance,BOA
"Best app, somehow waiting a few minutes",positive,1,Mixed App Performance,BOA
I can't dijitalize my atm in the apollo app on my phone,neutral,1,Mixed App Performance,BOA
Whenever I try to sign in app close please fixed it out,positive,1,Mixed App Performance,BOA
Beter,neutral,1,Mixed App Performance,BOA
Boa,neutral,2,Positive User Experience & UI,BOA
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,neutral,1,Mixed App Performance,BOA
Aadan Axmed Barkhadle,neutral,1,Mixed App Performance,BOA
😡😡😡🤬🤬🤬,neutral,1,Mixed App Performance,BOA
Horrible customer service and app crashes Horrible!!,negative,1,Mixed App Performance,BOA
I love it,positive,1,Mixed App Performance,BOA
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,neutral,1,Mixed App Performance,BOA
Good🙏,positive,1,Mixed App Performance,BOA
Like to much,positive,1,Mixed App Performance,BOA
Thank you,positive,1,Mixed App Performance,BOA
Perfect,positive,1,Mixed App Performance,BOA
The best of best,positive,1,Mixed App Performance,BOA
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,positive,1,Mixed App Performance,BOA
Great 👍,positive,2,Positive User Experience & UI,BOA
Fast and suitable for the customers.,neutral,1,Mixed App Performance,BOA
Good app and helpful,positive,1,Mixed App Performance,BOA
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",negative,1,Mixed App Performance,BOA
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,negative,1,Mixed App Performance,BOA
It doesn't work at all.,neutral,1,Mixed App Performance,BOA
this app is not available,neutral,1,Mixed App Performance,BOA
Wow what amazing,positive,1,Mixed App Performance,BOA
love it,positive,1,Mixed App Performance,BOA
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,neutral,1,Mixed App Performance,BOA
Lemn embi yilal??,neutral,1,Mixed App Performance,BOA
Good,positive,1,Mixed App Performance,BOA
It's useless app downgraded.,negative,1,Mixed App Performance,BOA
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,neutral,1,Mixed App Performance,BOA
Nice,positive,1,Mixed App Performance,BOA
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,negative,1,Mixed App Performance,BOA
አይሰራም ሼም ነው፤,neutral,1,Mixed App Performance,BOA
Not that much bad,positive,3,App Functionality Issues,BOA
Fine,positive,1,Mixed App Performance,BOA
The dirtiest application ever seen...,negative,1,Mixed App Performance,BOA
Nic ap,neutral,1,Mixed App Performance,BOA
The forest app ever,neutral,1,Mixed App Performance,BOA
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",positive,1,Mixed App Performance,BOA
Bank of abissena,neutral,1,Mixed App Performance,BOA
"Easy and sooo simple to use it, also its easy to stole someones money using the app",positive,1,Mixed App Performance,BOA
GOOD,positive,1,Mixed App Performance,BOA
The worst banking app ever. Never works!,negative,1,Mixed App Performance,BOA
Poorly functioning app,neutral,1,Mixed App Performance,BOA
Very nice,positive,1,Mixed App Performance,BOA
Your system is the worst you should do better😡😡😡😡😡😡,negative,1,Mixed App Performance,BOA
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,negative,1,Mixed App Performance,BOA
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",positive,1,Mixed App Performance,BOA
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",negative,1,Mixed App Performance,BOA
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,negative,1,Mixed App Performance,BOA
It doesn't work on my 2 devices A05 and A34 😡,neutral,1,Mixed App Performance,BOA
It's better to say I don't use boa rather than pulling your phone out and opening this app,positive,0,Account Access & Balance Issues,BOA
My attention is very important because it will be the most difficult time for me,negative,1,Mixed App Performance,BOA
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",negative,1,Mixed App Performance,BOA
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,positive,1,Mixed App Performance,BOA
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,negative,1,Mixed App Performance,BOA
exellent digital transaction of money,neutral,1,Mixed App Performance,BOA
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,negative,1,Mixed App Performance,BOA
Great,positive,2,Positive User Experience & UI,BOA
👏👏👏,neutral,1,Mixed App Performance,BOA
Money,neutral,1,Mixed App Performance,BOA
It needs more improvment,neutral,1,Mixed App Performance,BOA
Hey Google,neutral,1,Mixed App Performance,BOA
Ademtahir,neutral,1,Mixed App Performance,BOA
✌️✌️,neutral,1,Mixed App Performance,BOA
Please this app on my android phone,positive,1,Mixed App Performance,BOA
GOAT 🐐 🐐,neutral,1,Mixed App Performance,BOA
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",positive,1,Mixed App Performance,BOA
Fast and reliable,neutral,1,Mixed App Performance,BOA
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",negative,1,Mixed App Performance,BOA
Very good,positive,1,Mixed App Performance,BOA
One of the poorest mobile banking system,negative,1,Mixed App Performance,BOA
❤❤❤❤❤❤,positive,1,Mixed App Performance,BOA
Oene,neutral,1,Mixed App Performance,BOA
i find it interesting specially in reciept downloading,positive,1,Mixed App Performance,BOA
it good,positive,1,Mixed App Performance,BOA
"This app crashes everytime, please fix it",positive,1,Mixed App Performance,BOA
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,neutral,1,Mixed App Performance,BOA
I need a support the app is not working,positive,1,Mixed App Performance,BOA
Bast bank of ethiopia,neutral,1,Mixed App Performance,BOA
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,neutral,1,Mixed App Performance,BOA
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",positive,1,Mixed App Performance,BOA
The worst App i have never seen like this before,negative,1,Mixed App Performance,BOA
Wweeeer,neutral,1,Mixed App Performance,BOA
Infinx,neutral,1,Mixed App Performance,BOA
Great service,positive,2,Positive User Experience & UI,BOA
This app is not available on all android versions and some times it is not functional.,neutral,1,Mixed App Performance,BOA
senayt Mesfin,neutral,1,Mixed App Performance,BOA
Bad app vety bad.,negative,3,App Functionality Issues,BOA
Abessnya Banke,neutral,1,Mixed App Performance,BOA
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",negative,1,Mixed App Performance,BOA
Okay,positive,1,Mixed App Performance,BOA
Professional on banking app,neutral,1,Mixed App Performance,BOA
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,positive,1,Mixed App Performance,BOA
አይሰራም አስተካክሉት,neutral,1,Mixed App Performance,BOA
Please try another because this app doesn't feet the need of this generation,positive,1,Mixed App Performance,BOA
Fast transfer,neutral,1,Mixed App Performance,BOA
"What's up I can't log in, what's wrong",negative,1,Mixed App Performance,BOA
Amrumehamed,neutral,1,Mixed App Performance,BOA
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",positive,1,Mixed App Performance,BOA
ደደገነሐ,neutral,1,Mixed App Performance,BOA
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",negative,1,Mixed App Performance,BOA
A painfully slow banking app service. Please don't make it your choice!,negative,1,Mixed App Performance,BOA
Good App,positive,1,Mixed App Performance,BOA
Best app to me,positive,1,Mixed App Performance,BOA
BOA,neutral,2,Positive User Experience & UI,BOA
Abdulkadir,neutral,1,Mixed App Performance,BOA
Bad,negative,3,App Functionality Issues,BOA
If it is possible I would gove0 star,neutral,1,Mixed App Performance,BOA
Nise mobile bankig,neutral,1,Mixed App Performance,BOA
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,positive,1,Mixed App Performance,BOA
Just make it work please🤣 this is embarrassing for a bank of your size,positive,1,Mixed App Performance,BOA
Update to the simplest way it requires the developer option on and off why this is,neutral,1,Mixed App Performance,BOA
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",negative,1,Mixed App Performance,BOA
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,positive,1,Mixed App Performance,BOA
Worest app,neutral,1,Mixed App Performance,BOA
The worest app ever,neutral,1,Mixed App Performance,BOA
አሪፍ ነው በርቱልን,neutral,1,Mixed App Performance,BOA
Wwwerrr,neutral,1,Mixed App Performance,BOA
ጀማል ውቀቱ,neutral,1,Mixed App Performance,BOA
Great For Financial company,positive,1,Mixed App Performance,BOA
Very easy to use,positive,1,Mixed App Performance,BOA
The App's crash always.. Error.....,negative,1,Mixed App Performance,BOA
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,negative,1,Mixed App Performance,BOA
Great UI and seamless UX. I love it!!,positive,2,Positive User Experience & UI,BOA
That's too good application but try to add more alternatives and futures or possibilitys for your customers,positive,1,Mixed App Performance,BOA
It's easy used to operate program and secured 👍👍,positive,1,Mixed App Performance,BOA
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,neutral,1,Mixed App Performance,BOA
Amazing,positive,1,Mixed App Performance,BOA
Great app with great services,positive,2,Positive User Experience & UI,BOA
Yes active user,positive,1,Mixed App Performance,BOA
Shameful,negative,1,Mixed App Performance,BOA
The worest app ever made i would not recommende for no one,positive,1,Mixed App Performance,BOA
Good application,positive,1,Mixed App Performance,BOA
I like,positive,1,Mixed App Performance,BOA
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",neutral,1,Mixed App Performance,BOA
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",positive,1,Mixed App Performance,BOA
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),neutral,1,Mixed App Performance,BOA
It's not working. It needs a big update. Can't you update the app quickly?,neutral,1,Mixed App Performance,BOA
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",positive,1,Mixed App Performance,BOA
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",negative,1,Mixed App Performance,BOA
Bes and freindly app,neutral,1,Mixed App Performance,BOA
It doesn't work.,neutral,1,Mixed App Performance,BOA
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",negative,1,Mixed App Performance,BOA
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,negative,1,Mixed App Performance,BOA
Smart technology,positive,1,Mixed App Performance,BOA
Yegema app tish🪨,neutral,1,Mixed App Performance,BOA
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",negative,2,Positive User Experience & UI,BOA
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",negative,1,Mixed App Performance,BOA
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",positive,1,Mixed App Performance,BOA
Awesome application. But lately its crashing everytime i opened it.,positive,1,Mixed App Performance,BOA
እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,neutral,1,Mixed App Performance,BOA
Fast one,neutral,1,Mixed App Performance,BOA
Nice looking app but a terrible user experience.,negative,1,Mixed App Performance,BOA
The worest MB app ever!!🙄,neutral,1,Mixed App Performance,BOA
It is ok,positive,1,Mixed App Performance,BOA
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,positive,1,Mixed App Performance,BOA
Apollo's,neutral,1,Mixed App Performance,BOA
The worst experience ever,negative,1,Mixed App Performance,BOA
Hussenaliumar,neutral,1,Mixed App Performance,BOA
Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,positive,1,Mixed App Performance,BOA
It is not work for my device,neutral,1,Mixed App Performance,BOA
"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",negative,1,Mixed App Performance,BOA
The worst app ever,negative,1,Mixed App Performance,BOA
Betanya Gebre,neutral,1,Mixed App Performance,BOA
I dont recommand it to any one,neutral,1,Mixed App Performance,BOA
Excellent app,positive,1,Mixed App Performance,BOA
"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",negative,1,Mixed App Performance,BOA
ትርሃስ,neutral,1,Mixed App Performance,BOA
Gio,neutral,1,Mixed App Performance,BOA
App isn't working,neutral,1,Mixed App Performance,BOA
so far good but always it lugs,positive,1,Mixed App Performance,BOA
Don't trust this bank and its service.,negative,1,Mixed App Performance,BOA
"I can not open and use the application,please help me!",positive,1,Mixed App Performance,BOA
Horrible,negative,1,Mixed App Performance,BOA
Mostly not working 😑,neutral,1,Mixed App Performance,BOA
Awesome 👌,positive,1,Mixed App Performance,BOA
"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",neutral,1,Mixed App Performance,BOA
Very poor app b/c highly slow to open the app,negative,1,Mixed App Performance,BOA
Wedi Tekle .,neutral,1,Mixed App Performance,BOA
Bad app📱👎👎👎,negative,3,App Functionality Issues,BOA
Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,neutral,1,Mixed App Performance,BOA
Nice appp,positive,1,Mixed App Performance,BOA
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,neutral,1,Mixed App Performance,BOA
Gooood app my dear,positive,1,Mixed App Performance,BOA
Harun tamam galanaa,neutral,1,Mixed App Performance,BOA
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",negative,1,Mixed App Performance,BOA
Gamebela,neutral,1,Mixed App Performance,BOA
so poor app to use can't start up when open the app,negative,1,Mixed App Performance,BOA
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",positive,1,Mixed App Performance,BOA
Good job,positive,1,Mixed App Performance,BOA
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",negative,1,Mixed App Performance,BOA
Bad app .,negative,3,App Functionality Issues,BOA
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",negative,1,Mixed App Performance,BOA
Review,neutral,1,Mixed App Performance,BOA
Goood,neutral,1,Mixed App Performance,BOA
👎👎👎👎👎👎👎👎👎,neutral,1,Mixed App Performance,BOA
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,neutral,1,Mixed App Performance,BOA
The previous version is better it doesn't work,positive,1,Mixed App Performance,BOA
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",negative,1,Mixed App Performance,BOA
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",positive,1,Mixed App Performance,BOA
It's a useless app,negative,1,Mixed App Performance,BOA
"It's not working as it was , so much need to improve, it was the best but not anymore",positive,1,Mixed App Performance,BOA
Poor network,negative,1,Mixed App Performance,BOA
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,negative,1,Mixed App Performance,BOA
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,positive,1,Mixed App Performance,BOA
"It's not working totally, what a useless app is it,",negative,1,Mixed App Performance,BOA
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",negative,1,Mixed App Performance,BOA
this is so disappointing app 😞,negative,1,Mixed App Performance,BOA
አቢስኒያ የሁሉም ምርጫ,neutral,1,Mixed App Performance,BOA
Nays,neutral,1,Mixed App Performance,BOA
The worst app,negative,1,Mixed App Performance,BOA
it can't even open and only display error messages,negative,1,Mixed App Performance,BOA
not active,negative,1,Mixed App Performance,BOA
To get good quality,positive,1,Mixed App Performance,BOA
አይሰራም እኮ ምንድን ነው ችግሩ?,neutral,1,Mixed App Performance,BOA
uselss app dont download,neutral,1,Mixed App Performance,BOA
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",negative,1,Mixed App Performance,BOA
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",neutral,1,Mixed App Performance,BOA
Corrupted and poor app,negative,1,Mixed App Performance,BOA
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,positive,1,Mixed App Performance,BOA
FIX YOUR Apollo!! You guys where the best 👌,positive,1,Mixed App Performance,BOA
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,neutral,1,Mixed App Performance,BOA
